id,type_wide_production,title_post_obr,price
,banner,Без обработки ,0
,banner,Проклейка периметра ,1
,banner,Люверсы по углам ,120
,banner,Люверсы каждые 30см ,30
,banner,Люверсы каждые 50см ,30
